CodParcela,Parcela,N,P,K,Ca,Mg,S,Cu,Mn,Fe,Zn,B,Produção
EU,22,59.08,5.3,22.5,2.5,3.0,2.5,4.4,22.3,71.0,16.4,38.5,4190.4
EU,23,48.72,4.0,24.6,2.6,2.8,2.1,7.5,22.3,76.0,18.0,40.1,4205.3
EU,24,47.04,5.3,26.6,2.9,2.7,2.7,8.6,22.6,79.4,17.3,42.9,3588.4
EU,26,53.76,5.5,22.0,3.1,3.9,2.5,7.6,21.4,75.7,15.1,44.5,3009.6
EU,27,52.36,5.4,21.5,3.2,4.2,1.9,9.6,22.0,66.2,16.3,36.9,2663.0
EU,28,58.24,5.7,23.0,4.2,5.6,2.4,7.9,21.9,111.2,16.0,40.0,3687.9
EU,31,52.64,5.3,22.0,3.7,4.4,3.0,10.6,17.8,56.6,14.4,40.8,4032.8
EU,32,52.08,5.4,23.5,4.3,5.9,2.3,9.6,13.9,64.9,13.1,41.3,3925.0
EU,33,57.12,5.3,22.5,3.7,5.6,2.4,7.8,17.3,73.0,13.4,49.4,3789.0
EU,34,54.60,4.6,23.0,4.5,4.2,2.3,9.2,34.8,161.1,27.8,41.3,3505.5
EU,35,57.12,4.7,23.5,3.9,3.4,2.6,9.7,36.5,169.0,30.8,42.4,3382.7
EU,36,51.52,5.2,23.0,4.4,5.0,2.2,9.2,34.0,126.9,25.8,38.5,3677.9
EU,37,54.04,5.1,25.6,4.2,5.3,2.5,10.5,35.5,120.0,35.3,43.4,3699.5
EU,38,52.64,4.7,24.1,3.6,4.7,2.1,10.1,41.2,188.9,33.2,40.7,3346.3
EU,39,55.44,4.6,23.5,2.0,2.4,2.2,9.9,42.2,126.7,37.1,40.8,3382.7
EU,40,56.28,4.8,26.1,2.8,2.6,3.0,10.4,40.9,205.7,37.2,43.4,2749.2
EU,41,52.08,5.4,24.6,2.7,2.8,2.3,12.7,33.3,208.2,37.1,40.3,4014.6
